node,degree,betweenness,pagerank
PNJ,0.001823486506199854,0.00020947658788348633,0.00012297185261050323
Vietcombank,0.0037685387794796983,0.0009381152006363502,0.0003091546338697028
Nhật Bản,0.0087527352297593,0.0,0.0034430770269430777
Công an tỉnh Đồng Nai,0.00024313153415998054,0.0,6.744238995081354e-05
Công ty TNHH Thương mại dịch vụ VB Group,0.00012156576707999027,0.0,9.607747862727259e-05
Công ty CP Nhà máy y tế EBC Đồng Nai,0.00012156576707999027,0.0,6.744238995081354e-05
phường Long Bình,0.00024313153415998054,0.0,0.00018198274465664979
Chubb Life Việt Nam,0.0006078288353999514,0.0,6.744238995081354e-05
Quảng Trị,0.0007293946024799417,0.0,0.00015208007833526936
CNBC,0.006078288353999514,0.0013289090274597175,0.0006221860730450584
SK Hynix,0.0008509603695599319,3.778213633919719e-05,9.268031284306223e-05
Hàn Quốc,0.011670313639679067,0.0,0.004713123216090968
Meta,0.004862630683199611,0.0006527019291408413,0.00016642283994130092
San Francisco,0.0009725261366399222,0.0,0.0002926308600513998
Công ty Westinghouse Electric,0.00012156576707999027,0.0,6.744238995081354e-05
Liên minh Châu Âu,0.0008509603695599319,2.956006494346268e-07,0.00018198274465664979
Lò phản ứng Thử nghiệm Nhiệt hạch Quốc tế,0.00012156576707999027,0.0,6.744238995081354e-05
VDB,0.0009725261366399222,7.373083154567585e-05,0.0002204798279205558
Cục Điện lực,0.0004862630683199611,2.9796545463010382e-05,0.00010367792913726572
World Bank Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
BIDV,0.0034038414782397277,0.0003870255544826605,0.0003516013071110701
Ernst & Young Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
SPX,0.00036469730123997083,0.0,6.744238995081354e-05
TP.HCM,0.01312910284463895,0.0,0.004543233844109592
Tổng Liên đoàn Lao động Việt Nam,0.0004862630683199611,0.0,6.744238995081354e-05
Kopitiam Yap Swee Tin,0.00012156576707999027,0.0,6.744238995081354e-05
Penang,0.00012156576707999027,0.0,0.00012471256730373165
Đảng ủy xã Liên Hà,0.00012156576707999027,0.0,6.744238995081354e-05
Phúc Thọ,0.00024313153415998054,0.0,0.00023099092888593462
Bộ Xây dựng,0.0019450522732798443,0.00024058958018898766,0.0003204514033139162
Bộ Xây,0.00012156576707999027,0.0,0.00010164079442122662
Công an xã Đông Xá,0.00012156576707999027,0.0,6.744238995081354e-05
xã Đông Xá,0.00012156576707999027,0.0,0.00012471256730373165
Forbes,0.0034038414782397277,0.0007666923183437029,0.00016707946153315156
Nhà Trắng,0.002674446875759786,0.0009384817126332721,0.0005940701670069113
Dfarm Quảng Trị,0.00024313153415998054,0.0,6.744238995081354e-05
Báo Quảng Trị,0.00036469730123997083,0.0,0.00014063029619995583
xã Vĩnh Giang,0.00012156576707999027,0.0,9.607747862727259e-05
báo VietNamNet,0.001337223437879893,0.00011554450823929046,8.357889254247745e-05
Henkel,0.00012156576707999027,0.0,6.744238995081354e-05
Wonang,0.00012156576707999027,0.0,6.744238995081354e-05
Tân Á Đại Thành,0.00036469730123997083,2.956006494346268e-08,0.00012471256730373165
Tập đoàn Hòa Phát,0.0008509603695599319,2.98556655928973e-05,0.00012471256730373165
Cục Dự trữ Liên bang Mỹ,0.004011670313639679,0.0005096334213050005,0.0008006451024246973
Indeed,0.00012156576707999027,0.0,6.744238995081354e-05
UBND đặc khu Phú Quý,0.00012156576707999027,0.0,6.744238995081354e-05
đặc khu Phú Quý,0.00012156576707999027,0.0,0.00012471256730373165
LG,0.001337223437879893,5.1020055982690966e-05,0.00014451430763006226
Berlin,0.0004862630683199611,0.0,0.00025510935656517875
AP News,0.00024313153415998054,1.478003247173134e-08,9.607747862727259e-05
Phòng An ninh Kinh tế,0.00012156576707999027,0.0,6.744238995081354e-05
số,0.0009725261366399222,1.0346022730211938e-07,0.0004683336314212403
Đạm Cà Mau,0.00012156576707999027,0.0,6.744238995081354e-05
NashTech,0.00012156576707999027,0.0,6.744238995081354e-05
ZAVAK,0.00012156576707999027,0.0,6.744238995081354e-05
Phương Đông Asahi,0.00012156576707999027,0.0,6.744238995081354e-05
miền Nam,0.0020666180403598345,0.0,0.0008264426172949252
CT Group,0.0020666180403598345,0.0003663604321008792,0.00039883285520725756
Trung tâm Tài chính Quốc tế Việt Nam,0.0007293946024799417,0.0,6.744238995081354e-05
Viện Công nghệ Nhiệt Moscow,0.00012156576707999027,0.0,6.744238995081354e-05
Tạp chí Nhịp Cầu Đầu Tư,0.00012156576707999027,0.0,6.744238995081354e-05
Công ty Chứng khoán Thiên Việt,0.00024313153415998054,1.478003247173134e-08,0.00012471256730373165
FxPro,0.0004862630683199611,0.00013569547812296542,0.00013347479799299253
Kitco News,0.0009725261366399222,0.00012348563464714566,0.00016248376806617026
Bộ Nông nghiệp và Môi trường,0.0034038414782397277,0.0003143279325192665,0.0004056455735077195
Nhóm Thông tin Vô tuyến,0.00012156576707999027,0.0,6.744238995081354e-05
AWG,0.00012156576707999027,0.0,0.00012471256730373165
APT Wireless Group,0.00012156576707999027,0.0,6.744238995081354e-05
Thái Lan,0.003646973012399708,0.0,0.0014770003015868575
Cục An ninh mạng,0.0008509603695599319,5.906839977327431e-05,0.00013308441573652108
Ngân hàng Phát triển châu Á,0.00036469730123997083,1.2621737174401018e-06,7.460497538584411e-05
VNA,0.00036469730123997083,2.956006494346268e-08,0.00012471256730373165
UBND xã Krông Pắc,0.00012156576707999027,0.0,6.744238995081354e-05
Krông Pắc,0.00024313153415998054,0.0,0.00018198274465664979
Bộ NN&MT,0.0008509603695599319,0.00013484573636855316,0.00013831396014324588
UBND tỉnh Quảng Trị,0.0006078288353999514,4.647254258502455e-05,7.504284046080668e-05
Bộ Công nghệ Anh,0.00012156576707999027,0.0,6.744238995081354e-05
Trung tâm Đo lường Chất lượng Viễn thông,0.00012156576707999027,0.0,6.744238995081354e-05
Công ty CP Tập đoàn Phúc Sơn,0.00012156576707999027,0.0,6.744238995081354e-05
Tập đoàn Phúc Sơn,0.00024313153415998054,1.478003247173134e-08,0.00012471256730373165
nút giao thông Ngọc Hội,0.00012156576707999027,0.0,0.0001737207515330165
Vinamilk,0.001337223437879893,2.646764632890603e-05,0.00019205636793984677
Hiệp hội An ninh mạng Quốc gia,0.001337223437879893,4.752168150659762e-05,0.00012663178509182197
Fed,0.0032822757111597373,0.0013120334956934227,0.00040363869683338136
Tập đoàn công nghiệp NORINCO,0.00012156576707999027,0.0,6.744238995081354e-05
Military Watch Magazine,0.00012156576707999027,0.0,0.00012471256730373165
EVNNPC,0.0007293946024799417,7.39001623586567e-08,9.607747862727259e-05
Trạm biến áp 220kV Phú Bình 2,0.00012156576707999027,0.0,8.379724384432563e-05
Viện Hàn lâm Khoa học xã hội Việt Nam,0.00024313153415998054,0.0,6.744238995081354e-05
Viện Hàn lâm,0.00012156576707999027,0.0,9.607747862727259e-05
tỉnh Lai Châu,0.00012156576707999027,0.0,7.751601323401056e-05
An Giang,0.0006078288353999514,0.0,0.0001616000462160943
Hiệp hội Phần mềm và Dịch vụ CNTT Việt Nam,0.0004862630683199611,0.0,6.744238995081354e-05
VINASA,0.001823486506199854,6.836366145825226e-05,0.00020584531855369898
JISA,0.00012156576707999027,0.0,8.175993428904306e-05
Việt,0.0010940919037199124,0.0,0.0005000742767701079
Ngân hàng TMCP Việt Nam Thương Tín,0.00024313153415998054,8.360923607044416e-07,7.527312993806184e-05
STEAM for Vietnam,0.00012156576707999027,0.0,6.744238995081354e-05
Trung tâm Phục vụ hành chính công,0.0006078288353999514,3.888761440434282e-06,8.653891098776629e-05
Tổng công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,0.00024313153415998054,0.0,6.744238995081354e-05
Cục Cảnh sát Điều tra,0.00024313153415998054,1.987914367447865e-07,8.028363615166241e-05
Công ty Cổ phần Chăn nuôi C.P . Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
Bình Dương,0.0010940919037199124,1.5386013803072324e-05,0.0003902230848219268
IFC Đà Nẵng,0.00024313153415998054,1.811140487012158e-07,7.884145560329172e-05
UBND TP Đà Nẵng,0.001337223437879893,0.0003997980497681206,7.884145560329172e-05
TTTCQT,0.00036469730123997083,1.3302029224558207e-07,0.00013611163295620984
VinBigdata,0.0004862630683199611,0.0,6.744238995081354e-05
Tập đoàn Vingroup,0.0034038414782397277,0.0002339111044954666,0.0001870848334907022
báo HàNộiMới,0.00012156576707999027,0.0,8.175993428904306e-05
Tổng công ty Viễn thông MobiFone,0.0008509603695599319,6.089373378353312e-05,7.845289829209399e-05
huyện Hoằng Hóa,0.00024313153415998054,0.0,0.0001358175369683438
Yahoo,0.00036469730123997083,0.00011883146107271998,8.059314990108873e-05
UBND TP.HCM,0.0017019207391198638,2.9885225657840774e-05,0.00012471256730373165
Đôi Dép,0.00024313153415998054,2.956006494346268e-08,7.561764853405991e-05
Davos,0.00024313153415998054,0.0,0.00015269926522897058
ECO Pharma,0.00012156576707999027,0.0,6.744238995081354e-05
Lebanon,0.00036469730123997083,0.0,0.0001567255422546224
Tencent,0.0008509603695599319,3.489606279987299e-05,7.720175849161261e-05
Ả Rập,0.00012156576707999027,0.0,7.836502058383502e-05
Thư viện Quốc gia,0.00012156576707999027,0.0,6.744238995081354e-05
Nam Định,0.0010940919037199124,0.0,0.00030449345321768113
Cục Viễn thông,0.0023097495745198152,0.00015004112092756298,0.00011360425375109278
Microsoft,0.006929248723559446,0.0021040536028325407,0.00043187555716865704
Vingroup,0.007172380257719426,0.002131061800590782,0.0007460418560916983
Ngân hàng TMCP Việt Nam Thịnh Vượng,0.0008509603695599319,3.0860707800975036e-05,7.747134512495256e-05
VPBank,0.003039144176999757,0.0013621998758984726,0.00022227712916383447
Uniqlo,0.0007293946024799417,5.968177112085114e-05,0.00018198274465664979
South China Morning Post,0.0004862630683199611,6.090851381600485e-05,8.013147335370566e-05
SCMP,0.0007293946024799417,3.060944724895561e-05,0.00016691506190353661
SpaceX,0.00449793338195964,0.0007286411191223948,0.0005297841674951765
VNQuantum,0.00036469730123997083,1.5282553575770205e-05,8.728837931072284e-05
Bảo tàng Vũ trụ,0.00024313153415998054,1.478003247173134e-08,0.00014129302286574683
VNG,0.0015803549720398735,0.00010631779067742252,0.00024338933178164282
Đảng Cộng hòa,0.0012156576707999028,0.002619388556297226,0.0001939930887895112
